"Ticker","Date","LatestAvailableDate","HistoryBars","HistoryQuality","Price","ChangePct","Signal","ActiveSignals","SignalGroup","ActiveSignal","SniperLocation","LastActiveSignals","LastActiveDate","LastSniperLocation","SignalAgeLabel","AgeDays","Trend","TrendShort","TrendMedium","TrendLong","Structure","Regime","RisenScore","RisenInsideRolling","RisenRecentUpBreak","RisenVolSurge","Quadrant","AlphaStatus","RVol","VolPower","VolRegime","XRayBuyPowerPct","XRaySellPowerPct","RSI","ADX","PlusDI","MinusDI","EMA21","EMA50","EMA200","Volume","VolumeSMA20","Score","LogicNotes","Strategy","PortfolioCapital","Buy1","Buy2","Buy3","Buy4","Weight1","Weight2","Weight3","Weight4","Lot1","Lot2","Lot3","Lot4","TotalLots","TotalDeployed","CashLeft","AvgEntry","TheoreticalAvgEntry","StopLoss","TP1","TP2","TP2Fib","RiskBuy1Pct","RiskAvgPct","UpsideBuy1Pct","UpsideAvgPct","RewardRiskBuy1","RewardRiskAvg"
"TALF","2026-05-22","2026-05-22","558","FULL","780","24.8","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BULLISH","BULLISH","BULLISH","DEMAND STRUCTURE","EXPLOSIVE BULL","19.18","TRUE","TRUE","TRUE","LEADING","LEADING (V-Shape)","1.86","1.86","EXPANSION","100","0","56.45","32.58","25.48","14","706.39","677.22","552.8","762700","410740","5050","Supertrend bearish | RSI 56.5 > 50 | Volume valid 1.86x | Lolos anti-crash ADX | RISEN EXPLOSIVE BULL","Full Grid (1-2-3-4)","100000000","780","695","675","645","0.1","0.2","0.3","0.4","128","287","444","620","1479","99890500","109500","675.39","675.41","590","1065","1350","1350","24.36","12.64","73.08","99.88","3","7.9"
"CLEO","2026-05-22","2026-05-22","558","FULL","392","1.5544041450777202","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","SIDEWAYS","64.49","TRUE","FALSE","TRUE","LEADING","LEADING (V-Shape)","1.8","1.8","EXPANSION","100","0","44.56","16.39","17.86","27.73","396.49","403.15","534.87","8693800","4823595","4550","Supertrend bearish | RSI 44.6 lemah | Volume valid 1.8x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","392","384","382","380","0.1","0.2","0.3","0.4","255","520","785","1052","2612","99927000","73000","382.57","382.57","374","420","462","462","4.59","2.24","17.86","20.76","3.89","9.27"
"DEWI","2026-05-22","2026-05-22","558","FULL","122","1.6666666666666667","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","69.9","TRUE","FALSE","FALSE","LEADING","LEADING (V-Shape)","1.42","1.42","EXPANSION","100","0","44.15","13.67","13.96","22.37","125.23","127.54","125.42","72724800","51091960","4550","Supertrend bearish | RSI 44.1 lemah | Volume valid 1.42x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","122","118","117","116","0.1","0.2","0.3","0.4","819","1694","2564","3448","8525","99976600","23400","117.27","117.28","113","136","150","150","7.38","3.64","22.95","27.9","3.11","7.66"
"MSTI","2026-05-22","2026-05-22","558","FULL","1380","0.7299270072992701","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","UPTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","63.18","TRUE","FALSE","FALSE","LEADING","LEADING (V-Shape)","1.33","1.33","EXPANSION","100","0","48.3","13.3","15.02","18.77","1385.17","1384.57","1420.45","1840300","1381910","4550","Supertrend bullish | RSI 48.3 lemah | Volume valid 1.33x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","1380","1360","1350","1345","0.1","0.2","0.3","0.4","72","147","222","297","738","99844500","155500","1352.91","1352.92","1330","1455","1600","1600","3.62","1.69","15.94","18.26","4.4","10.79"
"RSCH","2026-05-22","2026-05-22","558","FULL","260","1.5625","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","31.52","TRUE","FALSE","FALSE","LEADING","LEADING (V-Shape)","1.9","1.9","EXPANSION","36.36","63.64","38.67","12.43","13.9","15.17","281.81","311","356.86","43680500","23010605","4550","Supertrend bearish | RSI 38.7 lemah | Volume valid 1.9x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","260","254","252","250","0.1","0.2","0.3","0.4","384","787","1190","1600","3961","99961800","38200","252.37","252.37","244","284","312","312","6.15","3.31","20","23.63","3.25","7.13"
"TFAS","2026-05-22","2026-05-22","558","FULL","212","0.9523809523809524","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","75","TRUE","FALSE","TRUE","LEADING","LEADING (V-Shape)","1.79","1.79","EXPANSION","75","25","43.57","20.28","18","14.19","217.92","223.4","220.11","862200","481485","4550","Supertrend bearish | RSI 43.6 lemah | Volume valid 1.79x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","212","206","204","202","0.1","0.2","0.3","0.4","471","970","1470","1980","4891","99951200","48800","204.36","204.36","196","236","256","256","7.55","4.09","20.75","25.27","2.75","6.18"
"TINS","2026-05-22","2026-05-22","558","FULL","3580","14.376996805111823","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BULLISH","BEARISH","BULLISH","DEMAND STRUCTURE","NORMAL UPTREND","17.95","TRUE","TRUE","FALSE","LEADING","LEADING (V-Shape)","1.69","1.69","EXPANSION","82.35","17.65","50.35","20.28","24.26","29.16","3534.07","3596.22","2956.53","144854400","85666490","4550","Supertrend bearish | RSI 50.4 > 50 | Volume valid 1.69x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","3580","3200","3110","2980","0.1","0.2","0.3","0.4","27","62","96","134","319","99294000","706000","3112.66","3114.06","2760","4810","6050","6050","22.91","11.33","68.99","94.37","3.01","8.33"
"TOSK","2026-05-22","2026-05-22","534","FULL","57","7.547169811320755","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","59.64","TRUE","FALSE","FALSE","LEADING","LEADING (V-Shape)","1.31","1.31","EXPANSION","70","30","38.75","14.09","13.3","22.88","61.59","64.21","66.43","40216200","30628140","4550","Supertrend bearish | RSI 38.8 lemah | Volume valid 1.31x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","57","54","53","51","0.1","0.2","0.3","0.4","1754","3703","5660","7843","18960","99991300","8700","52.74","52.74","49","69","81","81","14.04","7.09","42.11","53.59","3","7.56"
"HRTA","2026-05-22","2026-05-22","558","FULL","2330","9.389671361502346","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BULLISH","DEMAND STRUCTURE","NORMAL UPTREND","15.85","TRUE","TRUE","FALSE","IMPROVING","IMPROVING (V-Shape)","1.41","1.41","EXPANSION","92.31","7.69","40.2","26.19","15.16","34.44","2541.17","2569.48","1940.17","25506000","18083450","4500","Supertrend bearish | RSI 40.2 lemah | Volume valid 1.41x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","2330","2180","2140","2090","0.1","0.2","0.3","0.4","42","91","140","191","464","99503000","497000","2144.46","2144.84","1995","2830","3340","3340","14.38","6.97","43.35","55.75","3.01","8"
"CBRE","2026-05-22","2026-05-22","558","FULL","865","24.46043165467626","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BULLISH","STRUCTURE + DISCOUNT","SIDEWAYS","24.62","TRUE","FALSE","FALSE","WEAKENING","WEAKENING (V-Shape)","2.3","2.3","VOLUME SURGE","100","0","48.69","22.86","11.01","27.55","883.71","882.27","773.21","80546500","35093835","4470","Supertrend bearish | RSI 48.7 lemah | Volume valid 2.3x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","865","745","715","675","0.1","0.2","0.3","0.4","115","268","419","592","1394","99832000","168000","716.15","716.21","605","1255","1645","1645","30.06","15.52","90.17","129.7","3","8.36"
"INTA","2026-05-22","2026-05-22","558","FULL","71","9.230769230769232","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","72.21","TRUE","FALSE","TRUE","LAGGING","LAGGARD (V-Shape)","2.21","2.21","VOLUME SURGE","100","0","44.06","16.71","18.32","40","75.21","80.71","72.17","2092700","946540","4470","Supertrend bearish | RSI 44.1 lemah | Volume valid 2.21x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","71","65","64","62","0.1","0.2","0.3","0.4","1408","3076","4687","6451","15622","99983800","16200","64","64","58","91","110","110","18.31","9.38","54.93","71.87","3","7.66"
"ANTM","2026-05-22","2026-05-22","558","FULL","3090","4.040404040404041","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","SIDEWAYS","14.34","TRUE","FALSE","FALSE","LAGGING","LAGGARD (V-Shape)","1.42","1.42","EXPANSION","75","25","33.29","29.29","9.45","31.65","3516.46","3690.29","3413.53","223541100","157601110","4450","Supertrend bearish | RSI 33.3 lemah | Volume valid 1.42x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","3090","3000","2980","2950","0.1","0.2","0.3","0.4","32","66","100","135","333","99313000","687000","2982.37","2982.46","2870","3420","3760","3760","7.12","3.77","21.68","26.07","3.05","6.92"
"BUMI","2026-05-22","2026-05-22","558","FULL","185","12.804878048780488","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","STRUCTURE + DISCOUNT","NORMAL DOWNTREND","20.84","TRUE","FALSE","FALSE","LAGGING","LAGGARD (V-Shape)","1.74","1.74","EXPANSION","96.15","3.85","36.49","21.28","13.92","32.59","210.25","229.71","220.32","6616733300","3795856775","4450","Supertrend bearish | RSI 36.5 lemah | Volume valid 1.74x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","185","171","168","163","0.1","0.2","0.3","0.4","540","1169","1785","2453","5947","99951800","48200","168.07","168.07","154","244","250","250","16.76","8.37","35.14","48.75","2.1","5.82"
"DEWA","2026-05-22","2026-05-22","558","FULL","378","13.17365269461078","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","SIDEWAYS","4.48","TRUE","FALSE","FALSE","LAGGING","LAGGARD (V-Shape)","1.89","1.89","EXPANSION","74.36","25.64","35.16","26.18","12.5","34.16","454.37","484.72","428.8","1219258700","645618540","4450","Supertrend bearish | RSI 35.2 lemah | Volume valid 1.89x | Lolos anti-crash ADX | RISEN SIDEWAYS","Full Grid (1-2-3-4)","100000000","378","350","342","332","0.1","0.2","0.3","0.4","264","571","877","1204","2916","99930400","69600","342.7","342.7","312","478","575","575","17.46","8.96","52.12","67.79","2.98","7.57"
"FOLK","2026-05-22","2026-05-22","558","FULL","234","9.345794392523365","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","NORMAL DOWNTREND","62.32","TRUE","FALSE","FALSE","LAGGING","LAGGARD (V-Shape)","1.32","1.32","EXPANSION","85.19","14.81","27.68","22.81","11.54","35.85","310.33","371.78","354.21","4342100","3283875","4450","Supertrend bearish | RSI 27.7 lemah | Volume valid 1.32x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","234","212","206","198","0.1","0.2","0.3","0.4","427","943","1456","2020","4846","99973000","27000","206.3","206.3","181","314","348","348","22.65","12.26","48.72","68.69","2.15","5.6"
"IBFN","2026-05-22","2026-05-22","558","FULL","62","8.771929824561402","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","NORMAL UPTREND","18.97","TRUE","TRUE","FALSE","LAGGING","LAGGARD (V-Shape)","1.36","1.36","EXPANSION","100","0","37.32","24.89","15.28","48.38","75.75","84.69","79.73","1358700","998150","4450","Supertrend bearish | RSI 37.3 lemah | Volume valid 1.36x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","62","57","56","54","0.1","0.2","0.3","0.4","1612","3508","5357","7407","17884","99987000","13000","55.91","55.91","51","79","90","90","17.74","8.78","45.16","60.98","2.55","6.95"
"MARK","2026-05-22","2026-05-22","558","FULL","810","1.8867924528301887","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","NEUTRAL","BULLISH","DEMAND STRUCTURE","NORMAL UPTREND","28.57","TRUE","TRUE","FALSE","LAGGING","LAGGARD (V-Shape)","1.63","1.63","EXPANSION","100","0","47.85","18.36","14.32","22.33","820.2","810.97","787.44","24391000","14977260","4450","Supertrend bearish | RSI 47.9 lemah | Volume valid 1.63x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","810","785","780","770","0.1","0.2","0.3","0.4","123","254","384","519","1280","99817000","183000","779.82","779.83","755","895","985","985","6.79","3.18","21.6","26.31","3.18","8.27"
"NCKL","2026-05-22","2026-05-22","558","FULL","855","4.9079754601226995","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","NORMAL DOWNTREND","26.78","TRUE","FALSE","FALSE","LAGGING","LAGGARD (V-Shape)","1.3","1.3","EXPANSION","94.12","5.88","32.33","27.14","11.96","33.29","1003.67","1103.57","1105.88","94731600","72671255","4450","Supertrend bearish | RSI 32.3 lemah | Volume valid 1.3x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","855","815","805","790","0.1","0.2","0.3","0.4","116","245","372","506","1239","99805500","194500","805.53","805.57","760","1000","1140","1140","11.11","5.65","33.33","41.52","3","7.35"
"PSAB","2026-05-22","2026-05-22","558","FULL","426","14.516129032258066","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","NORMAL DOWNTREND","11.32","TRUE","FALSE","FALSE","LAGGING","LAGGARD (V-Shape)","1.48","1.48","EXPANSION","100","0","38.61","22.15","16.77","35.02","485.12","511.42","505.93","110834100","75081100","4450","Supertrend bearish | RSI 38.6 lemah | Volume valid 1.48x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","426","394","386","374","0.1","0.2","0.3","0.4","234","507","777","1069","2587","99917000","83000","386.23","386.24","352","535","650","650","17.37","8.86","52.58","68.29","3.03","7.71"
"RAJA","2026-05-22","2026-05-22","558","FULL","3420","13.621262458471762","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","NORMAL DOWNTREND","14.86","TRUE","FALSE","FALSE","LAGGING","LAGGARD (V-Shape)","1.32","1.32","EXPANSION","98.39","1.61","37.65","18.97","13.41","34.62","4022.88","4235.31","4212.45","38476900","29083190","4450","Supertrend bearish | RSI 37.6 lemah | Volume valid 1.32x | Lolos anti-crash ADX | RISEN NORMAL DOWNTREND","Full Grid (1-2-3-4)","100000000","3420","3120","3040","2940","0.1","0.2","0.3","0.4","29","64","98","136","327","99662000","338000","3047.77","3048.03","2730","4460","5500","5500","20.18","10.43","60.82","80.46","3.01","7.72"
"SINI","2026-05-22","2026-05-22","558","FULL","9300","9.734513274336283","V-SHAPE","V-SHAPE","reversal","TRUE","","V-SHAPE","2026-05-22","","NEW","0","DOWNTREND","BEARISH","BEARISH","BEARISH","DOWNTREND DISCOUNT","NORMAL UPTREND","13.82","TRUE","TRUE","FALSE","LAGGING","LAGGARD (V-Shape)","1.74","1.74","EXPANSION","100","0","32.09","24.98","19.74","51.34","12103.81","12812.64","10283.58","2040400","1171045","4450","Supertrend bearish | RSI 32.1 lemah | Volume valid 1.74x | Lolos anti-crash ADX | RISEN NORMAL UPTREND","Full Grid (1-2-3-4)","100000000","9300","8775","8650","8475","0.1","0.2","0.3","0.4","10","22","34","47","113","97847500","2152500","8659.07","8663.68","8075","11150","12975","12975","13.17","6.75","39.52","49.84","3","7.39"
